"","Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Director","Actor"
"51",51,"The Bookshop","    Set in a small town in 1959 England, it is the story of a woman who decides, against polite but ruthless local opposition, to open a bookshop, a decision which becomes a political minefield.",113,"Drama",6.6,NA,1135,"Isabel Coixet","Emily Mortimer"
"52",52,"Logan Lucky","    Two brothers attempt to pull off a heist during a NASCAR race in North Carolina.",118,"Comedy",7.1,78,82692,"Steven Soderbergh","Channing Tatum"
"53",53,"The Fate of the Furious","    When a mysterious woman seduces Dom into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.",136,"Action",6.7,56,161065,"F. Gary Gray","Vin Diesel"
"54",54,"Kong: Skull Island","    A team of scientists explore an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.",118,"Action",6.7,62,206145,"Jordan Vogt-Roberts","Tom Hiddleston"
"55",55,"Downsizing","    A social satire in which a man realizes he would have a better life if he were to shrink himself to five inches tall, allowing him to live in wealth and splendor.",135,"Comedy",5.7,63,48171,"Alexander Payne","Matt Damon"
"56",56,"The Killing of a Sacred Deer","    Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister.",121,"Drama",7.1,73,60765,"Yorgos Lanthimos","Barry G. Bernson"
"57",57,"The Disaster Artist","    When Greg Sestero, an aspiring film actor, meets the weird and mysterious Tommy Wiseau in an acting class, they form a unique friendship and travel to Hollywood to make their dreams come true.",104,"Biography",7.5,76,79189,"James Franco","James Franco"
"58",58,"Transformers: The Last Knight","    Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.",154,"Action",5.2,27,98591,"Michael Bay","Mark Wahlberg"
"59",59,"On Chesil Beach","    Based on Ian McEwan's novel. In 1962 England, a young couple find their idyllic romance colliding with issues of sexual freedom and societal pressure, leading to an awkward and fateful wedding night.",110,"Drama",6.3,62,596,"Dominic Cooke","Saoirse Ronan"
"60",60,"The Cured","    A disease that turns people into zombies has been cured. The once-infected zombies are discriminated against by society and their own families, which causes social issues to arise. This leads to militant government interference.",95,"Drama",5.4,57,1502,"David Freyne","Ellen Page"
